NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC,longitude,latitude
Tufanganj,village,,,,,89.69780000000,26.22680000000
Rasik Bil,hamlet,,,,,89.72345770000,26.41918760000
Kumargram,village,,,,,89.83225000000,26.61828310000
Agamani,village,,,,,89.83420000000,26.18040000000
Singrimari,village,,,,,89.90460000000,25.70440000000
Zikzak,village,,,,,89.91703770000,25.38119800000
Betasing,town,,,,,89.96863670000,25.46181480000
Gauripur,village,,,,,89.97015520000,26.08722960000
Dhuburi,city,,,,,89.98572360000,26.01867680000
,town,,,,,89.98901700000,26.44812900000
Phulbari,village,,,,,90.01667060000,25.88375920000
Garobandha,village,,,,,90.01741490000,25.57642630000
Kochugaon,village,,,,,90.05500000000,26.56950000000
Selsella,town,,,,,90.06409470000,25.64723320000
Rongmachokgiri,village,,,,,90.07077100000,25.79375530000
Sapatgram,village,,,,,90.16291850000,26.35398190000
Fakiragram,town,,,,,90.18758000000,26.36148410000
Adugiri,village,,,,,90.19134620000,25.43254560000
Dalu,town,,,,,90.19187730000,25.23940940000
Burengapara,village,,,,,90.19665540000,25.22629830000
Tura,town,,,,,90.20344250000,25.51703400000
Dadenggiri,town,,,,,90.22011820000,25.76165160000
Patgaon,village,,,,,90.22323660000,26.57071910000
Sarpang Dzongkhag,county,,,,,90.23522850000,26.90305720000
Rongram,town,,,,,90.24602080000,25.59483970000
Kokrajhar,town,,,,,90.27104120000,26.40037450000
Asananggiri,village,,,,,90.28192500000,25.61980670000
Bilasipara,village,,,,,90.28990000000,26.20280000000
Tikrikila,village,,,,,90.33400000000,26.00070000000
Chokpot,town,,,,,90.42028370000,25.36730000000
Sidli,village,,,,,90.43020000000,26.54110000000
Baida,village,,,,,90.44210000000,26.05260000000
Deosri,village,,,,,90.46470000000,26.75520000000
,town,,,,,90.48952870000,26.86837710000
Samanda,town,,,,,90.49416420000,25.59407830000
Gāro Hills,county,,,,,90.50000000000,25.50000000000
Geylegphug Dzongkhag,county,,,,,90.50000000000,26.95000000000
Sibbari,village,,,,,90.50370000000,25.17900000000
Bajengdoba,village,,,,,90.50382670000,25.89421220000
New Bongaigon,suburb,,,,,90.51322210000,26.47669110000
Rongrengiri,village,,,,,90.52467250000,25.58075950000
Bongaigaon,town,,,,,90.55803870000,26.48001260000
Jogighopa,village,,,,,90.56740000000,26.22540000000
Amtika,village,,,,,90.57230000000,26.72190000000
Williamnagar,village,,,,,90.58479290000,25.52431360000
Nengkhra,town,,,,,90.60060680000,25.50889780000
Resubelpara,village,,,,,90.61405980000,25.90519050000
Cherano,village,,,,,90.62415260000,25.65000810000
Goalpara,town,,,,,90.62446040000,26.17777650000
North Salmara,village,,,,,90.62649800000,26.36927820000
Mendipathar,town,,,,,90.62973000000,25.91924450000
Baghmara,town,,,,,90.64098310000,25.19145270000
Rewak,village,,,,,90.64408650000,25.31858690000
Abhaypuri,town,,,,,90.65613760000,26.34652310000
Krishnai,village,,,,,90.65954410000,26.03717320000
Durgapur,village,,,,,90.67880090000,25.12532750000
Bijni,village,,,,,90.70351700000,26.49405860000
Bangsi,village,,,,,90.74050000000,25.80310000000
Rongmara,town,,,,,90.75500000000,25.19980000000
Darugiri,village,,,,,90.75887170000,25.61545480000
Dudhnai,village,,,,,90.78375160000,25.98416350000
Dainadubi,village,,,,,90.79041030000,25.81862270000
Dambu,village,,,,,90.81420600000,25.71531070000
Zhemgang Dzongkhag,county,,,,,90.85000000000,27.08333300000
Nonshram,village,,,,,90.86537960000,25.59841100000
Nongdaju,village,,,,,90.91644630000,25.54957800000
Howli,town,,,,,90.97272160000,26.42477180000
Mohanganj,town,,,,,90.97941210000,24.87526110000
Barpeta,town,,,,,91.00757120000,26.32578240000
Mawshynrut,town,,,,,91.06172560000,25.66146080000
Sarupeta,village,,,,,91.09530000000,26.56790000000
Kumguri,village,,,,,91.09530000000,26.80700000000
Hudukhata,village,,,,,91.09840000000,26.65960000000
Pathsala,village,,,,,91.17787700000,26.50524390000
Kakilabari,hamlet,,,,,91.19857170000,26.74908460000
Rambrei,village,,,,,91.22414050000,25.61763220000
Hajua,village,,,,,91.22763010000,26.75548510000
Kāmrūp,county,,,,,91.25000000000,26.33333300000
Nganglam,village,,,,,91.25363790000,26.83523450000
Tihu,town,,,,,91.26780990000,26.47159200000
Ranikor,town,,,,,91.28425220000,25.25694850000
Nongstoin,town,,,,,91.28501910000,25.52542980000
Meghālaya,state,,,,,91.33333300000,25.50000000000
Bangaon,village,,,,,91.34390000000,26.34950000000
Patacharkuchi,village,,,,,91.35159910000,26.52489500000
Barama,village,,,,,91.36529460000,26.52320500000
