NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC
Tufanganj,village,,,,
Rasik Bil,hamlet,,,,
Kumargram,village,,,,
Agamani,village,,,,
Singrimari,village,,,,
Zikzak,village,,,,
Betasing,town,,,,
Gauripur,village,,,,
Dhuburi,city,,,,
,town,,,,
Phulbari,village,,,,
Garobandha,village,,,,
Kochugaon,village,,,,
Selsella,town,,,,
Rongmachokgiri,village,,,,
Sapatgram,village,,,,
Fakiragram,town,,,,
Adugiri,village,,,,
Dalu,town,,,,
Burengapara,village,,,,
Tura,town,,,,
Dadenggiri,town,,,,
Patgaon,village,,,,
Sarpang Dzongkhag,county,,,,
Rongram,town,,,,
Kokrajhar,town,,,,
Asananggiri,village,,,,
Bilasipara,village,,,,
Tikrikila,village,,,,
Chokpot,town,,,,
Sidli,village,,,,
Baida,village,,,,
Deosri,village,,,,
,town,,,,
Samanda,town,,,,
Gāro Hills,county,,,,
Geylegphug Dzongkhag,county,,,,
Sibbari,village,,,,
Bajengdoba,village,,,,
New Bongaigon,suburb,,,,
Rongrengiri,village,,,,
Bongaigaon,town,,,,
Jogighopa,village,,,,
Amtika,village,,,,
Williamnagar,village,,,,
Nengkhra,town,,,,
Resubelpara,village,,,,
Cherano,village,,,,
Goalpara,town,,,,
North Salmara,village,,,,
Mendipathar,town,,,,
Baghmara,town,,,,
Rewak,village,,,,
Abhaypuri,town,,,,
Krishnai,village,,,,
Durgapur,village,,,,
Bijni,village,,,,
Bangsi,village,,,,
Rongmara,town,,,,
Darugiri,village,,,,
Dudhnai,village,,,,
Dainadubi,village,,,,
Dambu,village,,,,
Zhemgang Dzongkhag,county,,,,
Nonshram,village,,,,
Nongdaju,village,,,,
Howli,town,,,,
Mohanganj,town,,,,
Barpeta,town,,,,
Mawshynrut,town,,,,
Sarupeta,village,,,,
Kumguri,village,,,,
Hudukhata,village,,,,
Pathsala,village,,,,
Kakilabari,hamlet,,,,
Rambrei,village,,,,
Hajua,village,,,,
Kāmrūp,county,,,,
Nganglam,village,,,,
Tihu,town,,,,
Ranikor,town,,,,
Nongstoin,town,,,,
Meghālaya,state,,,,
Bangaon,village,,,,
Patacharkuchi,village,,,,
Barama,village,,,,
Pemagatshel Dzongkhag,county,,,,
Chhaygaon,village,,,,
Subankhata,village,,,,
Balat,village,,,,
Nalbari,town,,,,
Dhamdhama,village,,,,
Loharghat,village,,,,
Mawkyrwa,town,,,,
Khāsi Hills,county,,,,
Laitmawsiang,village,,,,
Jalukbari,village,,,,
Sualkuchi,town,,,,
Hajo,village,,,,
Tamulpur,village,,,,
Mawsynram,town,,,,
Samdrup Jongkhar Dzongkhag,county,,,,
Rangia,town,,,,
Shella,village,,,,
Mairang,town,,,,
Chhatak Bazaar,town,,,,
Dumnichauki,village,,,,
Donmatia,village,,,,
CHANGSARI,locality,,,,
Goreswar,town,,,,
Naokata,town,,,,
Baihata,village,,,,
Cherrapunji,town,,,,
Tashigang,town,,,,
Guwahati,city,,,,
,,,"32",,
Companeyganj,village,,,,
Mawphlang,town,,,,
Dispur,town,,,,
Kyrdem Kulai,village,,,,
Nongjri,village,,,,
Goibarigoan,village,,,,
Umling,town,,,,
Sylhet,city,,,,
Shillong,city,,,,
Myrdon,village,,,,
Jorabat,village,,,,
Umsning,town,,,,
La Chaumiere Hills,village,,,,
Patharughat,village,,,,
Risa Colony,locality,,,,
Pynursla,village,,,,
SIPAJHAR,locality,,,,
Pynursla,town,,,,
Fenchuganj,town,,,,
Tangla,village,,,,
Sonapur,village,,,,
Kalaigaon,village,,,,
Barapani,village,,,,
Kailashahar,village,,,,
Golapgong,town,,,,
Dauki,village,,,,
Mangaldal,village,,,,
Ka,town,,,,
Umroi,village,,,,
Umsaw,village,,,,
Mawkynrew,town,,,,
Mawryngkneng,town,,,,
DHVLA,locality,,,,
Nakhola,village,,,,
Udalguri,town,,,,
DOIFAM,locality,,,,
BHAIRAB KUND,locality,,,,
Khoirabari,village,,,,
KHAIRABARI,locality,,,,
Amlarem,town,,,,
Pecharthal,village,,,,
Muktapur,village,,,,
KHARUPETIA,locality,,,,
Panisagar,town,,,,
Dharmanagar,town,,,,
Thadlaskein,town,,,,
Rngat,village,,,,
Jowai,town,,,,
DALGOAN,locality,,,,
Kaupati,village,,,,
Rowta,village,,,,
,village,,,,
DIRANG,locality,,,,
Jaintia Hills,county,,,,
DIRANG DZONG,locality,,,,
Kseh Kyntang,village,,,,
Bapung,village,,,,
Mynso,village,,,,
Dengarband,village,,,,
Dirang Dzong,village,,,,
Pathar Kandi,village,,,,
MUNNA,locality,,,,
ORAOG,locality,,,,
Damchara,village,,,,
West Kameng,county,,,,
Nilam Bazar,village,,,,
Karimganj,town,,,,
Abdu Uapur,village,,,,
Karimganj,village,,,,
Khliemriat,town,,,,
14 MILE,locality,,,,
Marigaon,village,,,,
Umshnong,village,,,,
NINE MILE,locality,,,,
Barato,village,,,,
Khanduli,village,,,,
WANGHO,locality,,,,
Bomdi La,town,,,,
Laskein,town,,,,
TENGA,locality,,,,
Dullabhcherra,village,,,,
Sutnga,village,,,,
Ratacherra,village,,,,
DKHIAJULI,locality,,,,
Dhing,village,,,,
Dhekiajuli,village,,,,
Mynser,village,,,,
Khaddum,village,,,,
Darrang,county,,,,
SINGRI,locality,,,,
Singri,village,,,,
Raha,village,,,,
SESSA ORCHID SANCTUARY,locality,,,,
Bhairabii,village,,,,
Kukichara,village,,,,
Katliohara,village,,,,
NEW KASPI,locality,,,,
Hailakandi,town,,,,
FISHING,locality,,,,
JAMERI,locality,,,,
NICHIPHU,locality,,,,
Badarpur,village,,,,
Doimara,village,,,,
ELEPHANT,locality,,,,
Bualpui,village,,,,
Bhutiachang,village,,,,
Dhaleswar,village,,,,
TIPI IB,locality,,,,
Umednagar,village,,,,
Tippi Town,locality,,,,
Nongkhlieh,village,,,,
Bhalukpong,town,,,,
Nowgong,county,,,,
Saipung,village,,,,
Kolasib,village,,,,
Nagaon,city,,,,
Moragang,village,,,,
Bikhawatlir,village,,,,
Chhimluang,village,,,,
Silkuri,village,,,,
Chardua,village,,,,
Katriatali,village,,,,
,village,,,,
Moulsei,village,,,,
Tumkrang,village,,,,
,village,,,,
MISSION CHARALI,locality,,,,
,village,,,,
Balipara,village,,,,
Tezpur,town,,,,
Silchar,city,,,,
Samaguri,village,,,,
KHUNAMUKH,locality,,,,
,village,,,,
Dabaka,village,,,,
,village,,,,
Seppa,village,,,,
Udarbard,village,,,,
Cāchār,county,,,,
Sonaimukh,village,,,,
Silghat,village,,,,
Samenkro,village,,,,
Kaliabor,village,,,,
Jamugurihat,village,,,,
Kuwarital,village,,,,
Misa,village,,,,
Paianghat,village,,,,
,hamlet,,,,
Lankapatti,village,,,,
Parkhowa Bazaar,village,,,,
Kumbhir,village,,,,
Dengaon,village,,,,
JAKHALA BHANA,locality,,,,
North Cāchār Hills,county,,,,
Assam,state,,,,
Halflong,town,,,,
Yengil,village,,,,
Howraghat,village,,,,
Chutia,village,,,,
Sepla,town,,,,
SOTHIA,locality,,,,
East Kameng,county,,,,
Lakhipur,village,,,,
Hatikali,village,,,,
Langting,village,,,,
Jiribam,town,,,,
Mahur,village,,,,
Maibong,village,,,,
Bishwanath Charaili,locality,,,,
Bishwanath Ghat,village,,,,
Lumding,town,,,,
Lungding,village,,,,
Burakek,village,,,,
Baghuliaghat,village,,,,
Ginjia,village,,,,
EDETI,locality,,,,
Eksekgaon,village,,,,
Kaziranga,village,,,,
KUTHARI,locality,,,,
BORGANG,locality,,,,
Oinamlung,village,,,,
BEHALI,locality,,,,
Nungba,village,,,,
ROCK,locality,,,,
BEDETI,locality,,,,
INTI,locality,,,,
ARANYA LODGE (001),locality,,,,
Diphu,village,,,,
Helem,village,,,,
Amlakhi,village,,,,
Manipur West,county,,,,
Kārbi Ānglong,county,,,,
Sagali,village,,,,
Henima,village,,,,
Arlangbati,village,,,,
Bara Daldali,village,,,,
BOKAKHAT,locality,,,,
60 CAMP,locality,,,,
Itanagar,city,,,,
Gohpur,village,,,,
Tamenglong,village,,,,
